iter	MultiClass
0	1.05451309
1	1.013703708
2	0.9735686345
3	0.9358271151
4	0.902710662
5	0.8755297768
6	0.8500905043
7	0.825490482
8	0.8029331428
9	0.7840518149
10	0.7610923708
11	0.7423518422
12	0.7248161352
13	0.7086418277
14	0.6926160066
15	0.6775587183
16	0.6665522609
17	0.6536999835
18	0.6428812167
19	0.6337766646
20	0.6232174501
21	0.615240943
22	0.6045230318
23	0.595866667
24	0.5884548165
25	0.5786229605
26	0.5709496471
27	0.5650240324
28	0.5604838739
29	0.5534560011
30	0.5476103183
31	0.542430875
32	0.5378107516
33	0.5324988151
34	0.5299335008
35	0.5253029808
36	0.5190150488
37	0.5146525864
38	0.5115276126
39	0.5075593927
40	0.5044430973
41	0.501663972
42	0.5001022899
43	0.497403637
44	0.494735216
45	0.4919674737
46	0.4906429321
47	0.4887114
48	0.4861171014
49	0.4826899477
50	0.4798725632
51	0.4774102987
52	0.4748594042
53	0.4712425173
54	0.4689649144
55	0.467576183
56	0.4652434662
57	0.4620554553
58	0.4607470361
59	0.4583821084
60	0.4557643621
61	0.4539307821
62	0.4515405128
63	0.4486799526
64	0.4475384387
65	0.446324338
66	0.4448426287
67	0.4437098891
68	0.4406728622
69	0.439483146
70	0.4376016956
71	0.4363064688
72	0.4345623888
73	0.4338184534
74	0.4328951295
75	0.4317298343
76	0.4301814741
77	0.429418759
78	0.4276571
79	0.4260781517
80	0.4249982161
81	0.4236418398
82	0.4227866875
83	0.4214769635
84	0.4203997755
85	0.4184713493
86	0.4168518766
87	0.4148321748
88	0.4134037914
89	0.4122787292
90	0.4105369566
91	0.4090599292
92	0.4075352935
93	0.4071067698
94	0.405850798
95	0.4048036992
96	0.4036332343
97	0.4029437105
98	0.4021930236
99	0.4014985741
100	0.400199789
101	0.3995025679
102	0.3988659736
103	0.397198896
104	0.3961145881
105	0.3949559087
106	0.3939923376
107	0.3925575211
108	0.3918180456
109	0.3910418808
110	0.3902943435
111	0.3891859769
112	0.3885225532
113	0.3875870103
114	0.3866526957
115	0.3861244985
116	0.3854567931
117	0.3843864625
118	0.3834836503
119	0.3823121844
120	0.3814342615
121	0.380287544
122	0.3791152582
123	0.3781391793
124	0.3774371907
125	0.3765649916
126	0.3758746623
127	0.3754659554
128	0.3740794233
129	0.3730948554
130	0.3726391641
131	0.3714723985
132	0.3707654332
133	0.3696229588
134	0.368510897
135	0.3678471178
136	0.3672462311
137	0.3666603998
138	0.3657418822
139	0.3646203407
140	0.3636790267
141	0.362522687
142	0.3620935963
143	0.361308165
144	0.3603270824
145	0.359560173
146	0.3586149724
147	0.3577823522
