iter	RMSE
0	602748.4377
1	582095.7655
2	563593.3099
3	545817.086
4	528808.5004
5	512904.4051
6	498860.7013
7	485367.6443
8	472975.7375
9	460872.2067
10	449652.929
11	439062.8788
12	429393.2572
13	420412.2992
14	411964.1341
15	403533.53
16	396368.2701
17	389086.4938
18	382673.3654
19	376249.5888
20	370780.9192
21	365169.9838
22	360268.0449
23	355895.9144
24	351635.4578
25	347314.9294
26	343795.0186
27	340474.9143
28	336871.5225
29	333890.7848
30	331069.1945
31	328072.5619
32	325435.0608
33	322237.3488
34	319370.3173
35	316996.8225
36	314988.5585
37	312897.4823
38	310301.0057
39	308735.8613
40	307325.4904
41	305595.8135
42	304025.517
43	302512.2014
44	300866.8722
45	299617.159
46	298120.7396
47	296905.1421
48	295564.5346
49	294519.409
50	292994.5561
51	291686.3331
52	290744.2041
53	289726.416
54	289002.4882
55	288208.4209
56	287294.9477
57	286459.1562
58	285736.3702
59	284901.4018
60	284012.5697
61	283375.3879
62	282660.7293
63	281668.2803
64	280839.5972
65	280024.9791
66	279456.4519
67	279071.4941
68	278609.3263
69	278061.2814
70	277512.7294
71	276782.0411
72	276276.1232
73	275797.0319
74	274935.5456
75	274328.9185
76	273898.3249
77	273271.2791
78	272837.54
79	272410.3181
80	271912.8958
81	271186.009
82	270747.6103
83	270202.7559
84	269868.742
85	269289.6404
86	268882.6761
87	268596.7556
88	268323.5231
89	267983.6962
90	267548.4031
91	267243.4897
92	266859.8582
93	266545.2554
94	266050.9777
95	265681.2547
96	265238.6339
97	264623.7711
98	264434.801
99	264176.4829
100	263788.1907
101	263286.7529
102	262970.5866
103	262665.919
104	262301.4228
105	261696.3962
106	261343.6317
107	260948.539
108	260621.7456
109	260245.172
110	259988.9505
111	259551.9311
112	259096.2572
113	258673.6997
114	258349.1338
115	257865.8421
116	257523.1434
117	257071.4368
118	256660.2028
119	256380.3321
120	256215.5883
121	255922.8493
122	255637.7257
123	255101.1624
124	254801.3075
125	254471.33
126	253968.4263
127	253625.1952
128	253381.4598
129	253079.4568
130	252792.3965
131	252499.9671
132	252237.3912
133	252028.1958
134	251796.5903
135	251380.5479
136	251169.7597
137	250731.3302
138	250405.0226
139	250086.2798
140	249877.4633
141	249511.6884
142	249189.9995
143	248918.6605
144	248620.961
145	248336.6945
146	247987.3544
147	247683.1462
148	247443.5603
149	247202.3444
150	246858.9181
151	246592.0499
152	246292.7116
153	246127.8289
154	245837.4966
155	245649.205
156	245378.1755
157	245159.2798
158	244957.9379
159	244721.0718
160	244427.243
161	244275.4709
162	244130.7834
163	243973.5285
164	243672.2021
165	243449.2726
166	243194.5578
167	242908.5216
168	242726.6963
169	242401.803
170	242105.8718
171	241835.1387
172	241601.7465
173	241327.228
174	240900.0778
175	240706.9551
176	240503.5859
177	240322.097
178	240193.1233
179	240093.1557
180	239927.3118
181	239687.2114
182	239437.9754
183	239262.6937
184	238909.3511
185	238700.368
186	238530.91
187	238302.2551
188	237991.072
189	237754.8727
190	237520.6607
191	237338.409
192	237127.3803
193	236935.0944
194	236635.6597
195	236437.136
196	236047.9872
197	235831.5759
198	235648.8639
199	235465.8225
200	235252.8009
201	235046.8808
202	234760.1201
203	234539.283
204	234215.4009
205	234024.9278
206	233732.0403
207	233478.9811
208	233226.2328
209	233168.6775
210	232974.3834
211	232733.2744
212	232558.5753
213	232347.3022
214	232069.5173
215	231932.4021
216	231767.7697
217	231436.4398
218	231133.6831
219	230915.8868
220	230641.403
221	230443.1342
222	230378.7598
223	230133.8468
224	229936.9941
225	229858.704
226	229639.0237
227	229404.535
228	229158.5586
229	228937.3608
230	228742.6226
231	228513.142
232	228231.62
233	228026.168
234	227766.8514
235	227579.9322
236	227333.7675
237	227001.2024
238	226754.5064
239	226637.573
240	226470.0927
241	226238.757
242	226036.2484
243	225884.4732
244	225705.108
245	225413.3499
246	225291.4787
247	225117.5432
248	224868.4171
249	224688.8799
250	224511.4603
251	224337.5497
252	224154.9868
253	223916.6443
254	223760.4796
255	223565.1415
256	223363.5127
257	223092.0004
258	222954.2257
259	222804.5552
260	222557.0668
261	222372.8958
262	222136.204
263	221994.4332
264	221823.4937
265	221661.4125
266	221527.8387
267	221404.4958
268	221275.141
269	221123.6939
270	220853.2766
271	220729.3529
272	220592.7182
273	220355.0907
274	220226.654
275	219974.1131
276	219742.1768
277	219546.3428
278	219381.7949
279	219273.7752
280	219136.9822
281	218943.3962
282	218818.627
283	218614.8397
284	218492.7492
285	218265.9276
286	218072.329
287	217938.2105
288	217768.4832
289	217620.942
290	217454.3491
291	217310.5479
292	217102.1084
293	216914.7013
294	216756.2721
295	216677.2008
296	216521.9058
297	216428.7357
298	216205.9497
299	216102.0034
300	215917.0526
301	215726.3937
302	215636.1971
303	215501.8323
304	215387.4809
305	215269.3398
306	215137.1017
307	214934.2498
308	214772.2318
309	214633.342
310	214509.0068
311	214329.3992
312	214140.8321
313	213935.5526
314	213846.4367
315	213669.2051
316	213580.3647
317	213466.4106
318	213375.854
319	213267.3544
320	213087.4421
321	212949.8664
322	212808.5813
323	212636.7515
324	212423.7923
325	212253.0553
326	212129.938
327	211930.2407
328	211756.045
329	211597.1618
330	211428.1249
331	211224.4425
332	211083.6883
333	210995.5069
334	210824.271
335	210633.7551
336	210447.294
337	210316.6542
338	210117.6935
339	210030.6598
340	209873.2109
341	209774.4392
342	209647.3633
343	209545.3359
344	209397.1843
345	209254.7721
346	209137.7528
347	208966.6466
348	208858.5689
349	208704.2179
350	208603.224
351	208503.0558
352	208370.168
353	208210.1504
354	208076.8501
355	207901.5116
356	207749.6713
357	207603.11
358	207415.5338
359	207252.1903
360	207092.6974
361	207027.0274
362	206951.755
363	206861.6137
364	206687.6212
365	206553.3261
366	206408.8287
367	206294.3623
368	206205.072
369	206092.5033
370	205945.1861
371	205837.0191
372	205733.3678
373	205608.8194
374	205498.9171
375	205352.7093
376	205274.4454
377	205112.5059
378	204976.2108
379	204917.9516
380	204814.2865
381	204681.2038
382	204538.2677
383	204415.4083
384	204251.7304
385	204103.5005
386	204000.34
387	203896.6603
388	203805.6834
389	203708.4599
390	203570.3876
391	203422.6613
392	203339.3467
393	203241.8032
394	203107.5725
395	203009.0023
396	202905.269
397	202821.702
398	202710.007
399	202596.6309
400	202474.4112
401	202345.2611
402	202261.3535
403	202102.7902
404	202015.8638
405	201892.4796
406	201799.2997
407	201584.8018
408	201491.6844
409	201401.8039
410	201260.1658
411	201168.5724
412	201029.6007
413	200867.1068
414	200748.6687
415	200594.0704
416	200475.1772
417	200382.3498
418	200269.2124
419	200159.728
420	200071.4111
421	199981.2535
422	199838.5894
423	199745.3642
424	199608.9027
425	199489.9276
426	199369.0517
427	199211.3059
428	199109.0545
429	198979.9686
430	198896.1435
431	198810.4467
432	198654.0486
433	198561.0763
434	198464.5355
435	198377.9937
436	198235.3477
437	198112.8142
438	197978.8166
439	197901.1075
440	197786.927
441	197710.2283
442	197578.113
443	197394.4068
444	197221.5293
445	197130.5233
446	197019.6579
447	196932.5066
448	196846.9751
449	196778.7368
450	196695.0865
451	196589.1153
452	196445.6471
453	196347.407
454	196234.1978
455	196113.2341
456	196021.2159
457	195903.824
458	195814.3552
459	195691.7953
460	195589.6545
461	195465.8254
462	195300.9603
463	195237.2229
464	195150.2463
465	195069.7304
466	194987.1183
467	194883.8755
468	194778.4573
469	194726.1606
470	194590.8833
471	194522.492
472	194460.61
473	194405.3125
474	194343.3999
475	194249.0345
476	194164.1446
477	194018.8546
478	193927.7718
479	193815.1356
480	193638.1282
481	193517.382
482	193425.4122
483	193365.3531
484	193311.175
485	193249.63
486	193160.7895
487	193052.1156
488	192961.4702
489	192834.724
490	192754.6099
491	192666.4395
492	192540.9935
493	192435.5924
494	192292.5883
495	192241.1164
496	192145.6604
497	192005.679
498	191949.5899
499	191812.9255
500	191735.8206
501	191634.4518
502	191571.5758
503	191529.0127
504	191434.2621
505	191319.9226
506	191227.3868
507	191115.4864
508	190996.9543
509	190938.2163
510	190792.526
511	190695.8467
512	190598.6011
513	190522.0701
514	190473.0565
515	190312.0843
516	190201.68
517	190086.1296
518	190044.0083
519	189937.7111
520	189827.2858
521	189732.9697
522	189646.0321
523	189603.5033
524	189534.0048
525	189466.8812
526	189337.8377
527	189254.4994
528	189183.7279
529	189087.0017
