iter	Passed	Remaining
0	57	57064
1	58	29248
2	60	19955
3	61	15337
4	63	12590
5	64	10728
6	66	9415
7	68	8439
8	69	7671
9	71	7050
10	72	6539
11	75	6251
12	77	5876
13	78	5562
14	80	5293
15	82	5049
16	83	4825
17	85	4640
18	86	4468
19	87	4311
20	89	4173
21	90	4042
22	92	3925
23	94	3823
24	95	3721
25	96	3628
26	98	3547
27	100	3472
28	101	3401
29	103	3333
30	104	3270
31	106	3212
32	107	3157
33	109	3106
34	111	3061
35	112	3010
36	113	2965
37	115	2924
38	116	2878
39	118	2836
40	119	2801
41	121	2765
42	124	2761
43	125	2728
44	127	2696
45	128	2665
46	130	2637
47	131	2608
48	133	2587
49	134	2558
50	136	2533
51	137	2507
52	139	2485
53	140	2464
54	142	2445
55	144	2427
56	145	2406
57	147	2391
58	148	2372
59	150	2357
60	152	2342
61	153	2323
62	155	2308
63	156	2291
64	159	2288
65	160	2275
66	162	2259
67	163	2244
68	165	2230
69	166	2217
70	168	2203
71	169	2190
72	171	2180
73	173	2167
74	174	2153
75	176	2142
76	177	2130
77	179	2119
78	181	2111
79	182	2098
80	183	2087
81	185	2074
82	186	2064
83	188	2052
84	189	2043
85	191	2034
86	192	2025
87	194	2014
88	195	2005
89	197	1996
90	199	1988
91	200	1978
92	201	1968
93	203	1961
94	205	1953
95	206	1947
96	208	1938
97	209	1931
98	211	1923
99	212	1916
100	214	1909
101	216	1902
102	217	1894
103	219	1891
104	220	1883
105	222	1879
106	224	1871
107	225	1864
108	227	1857
109	228	1850
110	230	1846
111	231	1839
112	233	1831
113	234	1824
114	236	1819
115	237	1813
116	239	1807
117	241	1801
118	242	1795
119	244	1790
120	245	1783
121	246	1777
122	248	1774
123	250	1768
124	251	1763
125	253	1758
126	254	1751
127	256	1746
128	257	1740
129	259	1734
130	260	1730
131	262	1724
132	263	1719
133	265	1713
134	266	1708
135	268	1703
136	269	1698
137	271	1692
138	272	1689
139	274	1683
140	275	1679
141	277	1674
142	278	1670
143	280	1665
144	281	1660
145	283	1657
146	284	1652
147	286	1648
148	287	1644
149	289	1639
150	291	1639
151	292	1634
152	294	1629
153	295	1625
154	297	1622
155	299	1618
156	300	1614
157	302	1610
158	303	1607
159	305	1602
160	306	1598
161	308	1594
162	309	1590
163	311	1585
164	312	1583
165	314	1579
166	315	1575
167	317	1571
168	318	1567
169	320	1563
170	321	1559
171	323	1555
172	324	1553
173	326	1550
174	327	1546
175	329	1542
176	330	1537
177	332	1533
178	333	1530
179	335	1529
180	337	1525
181	338	1521
182	340	1518
183	341	1515
184	343	1512
185	345	1509
186	346	1506
187	348	1503
188	349	1500
189	351	1497
190	352	1494
191	354	1490
192	355	1487
193	357	1484
194	358	1481
195	360	1477
196	362	1475
197	363	1471
198	364	1468
199	366	1465
200	367	1462
201	369	1458
202	370	1455
203	372	1451
204	373	1449
205	375	1446
206	376	1443
207	378	1440
208	379	1437
209	381	1434
210	382	1431
211	384	1428
212	385	1425
213	387	1422
214	388	1419
215	390	1415
216	391	1413
217	393	1410
218	394	1407
219	395	1403
220	397	1401
221	399	1398
222	400	1395
223	401	1391
224	403	1389
225	404	1386
226	406	1383
227	407	1380
228	409	1377
229	410	1374
230	412	1371
231	413	1369
232	415	1368
233	417	1366
234	419	1364
235	420	1362
236	422	1360
237	424	1357
238	425	1355
239	427	1353
240	428	1350
241	430	1347
242	431	1344
243	433	1342
244	434	1339
245	436	1337
246	437	1335
247	439	1333
