iter	RMSE
0	0.9481700656
1	0.9121626814
2	0.8767067797
3	0.8436350605
4	0.8125142792
5	0.7832079526
6	0.7548399685
7	0.7294411344
8	0.704990272
9	0.6816139645
10	0.6592912442
11	0.6389135359
12	0.6185678724
13	0.6007644383
14	0.5833520948
15	0.5680262422
16	0.55349948
17	0.5383919216
18	0.5237183354
19	0.5105095963
20	0.4985808282
21	0.4875141345
22	0.4769889777
23	0.4668176291
24	0.4575912377
25	0.4484773912
26	0.43950287
27	0.4315117382
28	0.4236453854
29	0.4173972413
30	0.4114017995
31	0.4053902014
32	0.3999017648
33	0.3943606622
34	0.3887436701
35	0.3838917831
36	0.3793632453
37	0.3749015655
38	0.3707912101
39	0.3669627059
40	0.3634071152
41	0.3602756744
42	0.3568896251
43	0.3539552149
44	0.3510964594
45	0.3484848571
46	0.3461469244
47	0.3435323549
48	0.3414354064
49	0.3391944006
50	0.3374202404
51	0.3352062503
52	0.3331046878
53	0.3311599605
54	0.3293787101
55	0.3279400886
56	0.3262214758
57	0.324820728
58	0.3233575586
59	0.3218508936
60	0.3204647315
61	0.3193878399
62	0.3180335432
63	0.3166957308
64	0.315698252
65	0.3146692372
66	0.3137860936
67	0.3127637109
68	0.3117534875
69	0.3107941388
70	0.3097759826
71	0.3090030588
72	0.3083688068
73	0.3076506113
74	0.3067551605
75	0.3057970434
76	0.3051457979
77	0.3044295712
78	0.3038084548
79	0.3032680448
80	0.302627975
81	0.3021564956
82	0.3016425984
83	0.3011036845
84	0.300614725
85	0.3002493283
86	0.2997737077
87	0.2992125133
88	0.2987886718
89	0.2979583955
90	0.297447272
91	0.2969361579
92	0.2966354183
93	0.296220481
94	0.2958285495
95	0.2952684518
96	0.2948886888
97	0.2944913444
98	0.2941945637
99	0.2937002714
100	0.2932707191
101	0.2929013993
102	0.2924933513
103	0.2920715973
104	0.2917625388
105	0.2913842006
106	0.2911565746
107	0.290838632
108	0.2904523154
109	0.2901669955
110	0.2898564051
111	0.2897664765
112	0.2895261786
113	0.2891932623
114	0.2887385104
115	0.2883584252
116	0.2879267191
117	0.2874827583
118	0.2867892215
119	0.2864396509
120	0.2861112664
121	0.2859334664
122	0.2856681486
123	0.2851159025
124	0.2847881976
125	0.2844218751
126	0.2838310895
127	0.2836375566
128	0.2834421532
129	0.2832516087
130	0.2829677615
131	0.2826391949
132	0.2823988154
133	0.2820588029
134	0.2818294114
135	0.2815903437
136	0.2812447743
137	0.2809137855
138	0.2806241208
139	0.2803464403
140	0.2800877973
141	0.2797909006
142	0.2795825273
143	0.279232083
144	0.2790209849
145	0.2787953697
146	0.2786425248
147	0.2784031537
148	0.2782693721
149	0.27787266
150	0.2776569521
151	0.2774154398
152	0.2772255603
153	0.2769618384
154	0.2767478394
155	0.2765904657
156	0.2764710837
157	0.2762096728
158	0.2761057042
159	0.2756699233
160	0.2755573025
161	0.2753113201
162	0.2749640194
163	0.2746150901
164	0.2742654236
165	0.2738566795
166	0.2734162058
167	0.2731639562
168	0.272792377
169	0.2724791809
170	0.2722889588
171	0.271961192
172	0.2717706771
173	0.2715235317
174	0.2713860018
175	0.2711756623
176	0.2711194348
177	0.2709716031
178	0.2708505526
179	0.2707932198
180	0.2705465861
181	0.2702157947
182	0.2700790833
183	0.2697417582
184	0.2695875732
185	0.2691843704
186	0.2690524288
187	0.268779117
188	0.2686290896
189	0.268536113
190	0.2684232951
191	0.2682573781
192	0.2678484252
193	0.2677483712
194	0.2674325202
195	0.2672333285
196	0.2669273068
197	0.2666868954
198	0.2662883974
199	0.266079319
200	0.2659590235
201	0.2659125049
202	0.2658238874
203	0.2657098082
204	0.2653141547
205	0.2650683772
206	0.264701634
207	0.264654354
208	0.264592151
209	0.2645157218
210	0.2644351206
211	0.2642153992
212	0.2639780985
213	0.2635566661
214	0.2631347943
215	0.2629654887
216	0.2628568478
217	0.2627708454
218	0.2625994935
219	0.2625352425
220	0.2623819921
221	0.2622156961
222	0.2621559676
223	0.2619411809
224	0.2616995867
225	0.2615668714
226	0.2613736378
227	0.2613268748
228	0.2611912276
229	0.2608380373
230	0.2604193644
231	0.2603881086
232	0.260350226
233	0.2603182808
234	0.2601794254
235	0.2600990322
236	0.2599579232
237	0.2595769385
238	0.2594109144
239	0.2593569603
240	0.2591220116
241	0.2589094515
242	0.2585190776
243	0.2582644652
244	0.2581825434
245	0.2578274862
246	0.2577720758
247	0.2574700375
248	0.2572480754
249	0.2570464089
250	0.2567653616
251	0.2564420716
252	0.2562295166
253	0.2558675931
254	0.2555310499
255	0.2553567941
256	0.255138334
257	0.254903374
258	0.2546004992
259	0.2542613107
260	0.2541530905
261	0.254107384
262	0.2539446616
263	0.2538366094
264	0.2537762532
265	0.2536329735
266	0.2533284154
267	0.253201164
268	0.2530820772
269	0.2529773251
270	0.2527224217
271	0.2526285024
272	0.2523926292
273	0.2521231761
274	0.251897395
275	0.251703859
276	0.2515500786
277	0.2512856088
278	0.2512138224
279	0.2509836207
280	0.2509096413
281	0.250733002
282	0.2504969837
283	0.2503510254
284	0.2501071917
285	0.2498446263
286	0.2495611314
287	0.2493206395
288	0.2492666884
289	0.249102456
290	0.2489084642
291	0.2486619856
292	0.2484677832
293	0.2481680395
294	0.2480483493
295	0.2479013985
296	0.2474975697
297	0.2472688055
298	0.2468857038
299	0.246636373
300	0.2464717739
301	0.2463633876
302	0.246123268
303	0.2459279344
304	0.2458272907
305	0.2454740667
306	0.2453762702
307	0.2452143574
308	0.245046125
309	0.244890634
310	0.244657422
311	0.2444263
312	0.2441447825
313	0.2439308682
314	0.2438171417
315	0.2436233841
316	0.2434446504
