iter	Passed	Remaining
0	2	2540
1	4	2336
2	6	2262
3	8	2190
4	11	2268
5	13	2302
6	16	2311
7	18	2272
8	20	2256
9	22	2254
10	24	2238
11	27	2241
12	29	2267
13	32	2282
14	34	2275
15	37	2279
16	39	2271
17	41	2268
18	44	2285
19	46	2292
20	49	2309
21	51	2303
22	54	2302
23	56	2294
24	58	2291
25	61	2290
26	63	2281
27	65	2273
28	67	2266
29	69	2258
30	72	2260
31	74	2259
32	76	2251
33	79	2245
34	81	2233
35	83	2223
36	85	2216
37	87	2214
38	89	2207
39	91	2198
40	93	2193
41	96	2190
42	98	2194
43	100	2188
44	102	2179
45	104	2173
46	107	2172
47	109	2170
48	111	2162
49	113	2158
50	116	2162
51	118	2164
52	121	2165
53	123	2158
54	125	2151
55	127	2145
56	129	2139
57	131	2136
58	133	2134
59	136	2132
60	138	2129
61	140	2122
62	142	2121
63	144	2118
64	147	2116
65	149	2120
66	151	2116
67	153	2110
68	156	2108
69	158	2105
70	160	2102
71	162	2098
72	164	2094
73	167	2089
74	169	2089
75	171	2086
76	173	2081
77	175	2078
78	177	2074
79	179	2069
80	182	2065
81	184	2061
82	186	2055
83	188	2051
84	190	2047
85	192	2044
86	194	2042
87	197	2042
88	199	2039
89	201	2036
90	203	2034
91	205	2031
92	208	2032
93	210	2027
94	212	2024
95	214	2019
96	216	2019
97	218	2015
98	221	2012
99	223	2009
100	225	2006
101	227	2002
102	229	2000
103	231	1995
104	233	1991
105	235	1987
106	237	1985
107	240	1982
108	242	1980
109	244	1979
110	246	1976
111	248	1973
112	250	1969
113	253	1969
114	255	1966
115	257	1964
116	260	1963
117	262	1962
118	264	1960
119	267	1958
120	269	1955
121	271	1952
122	273	1950
123	276	1951
124	278	1949
125	281	1949
126	283	1949
127	285	1945
128	287	1943
129	290	1941
130	292	1943
131	295	1943
132	297	1941
133	300	1939
134	302	1940
135	304	1936
136	306	1932
137	309	1932
138	311	1929
139	314	1928
140	316	1926
141	318	1924
142	320	1922
143	323	1920
144	325	1917
145	327	1916
146	330	1915
147	332	1913
148	334	1913
149	336	1909
150	339	1906
151	341	1906
152	344	1905
153	346	1902
154	348	1901
155	350	1898
156	353	1895
157	355	1893
158	357	1889
159	359	1887
160	362	1887
161	364	1885
162	366	1883
163	368	1880
164	371	1877
165	373	1875
166	375	1874
167	377	1871
168	380	1869
169	383	1869
170	385	1867
171	387	1865
172	389	1863
173	391	1860
174	394	1859
175	396	1856
176	398	1852
177	400	1850
178	402	1847
179	404	1844
180	407	1843
181	409	1840
182	412	1839
183	414	1839
184	416	1835
185	418	1833
186	420	1830
187	423	1828
188	425	1824
189	427	1822
190	429	1821
191	432	1820
192	435	1821
193	437	1818
194	440	1817
195	442	1816
196	445	1814
197	447	1813
198	450	1812
199	452	1809
200	454	1808
201	456	1805
202	458	1801
203	461	1799
204	463	1797
205	465	1795
206	468	1793
207	470	1790
208	472	1788
209	474	1785
210	476	1783
211	479	1781
212	481	1779
213	483	1776
214	485	1773
215	488	1771
216	490	1768
217	492	1765
218	494	1763
219	496	1760
220	498	1757
221	501	1756
222	503	1754
223	505	1751
224	507	1749
225	510	1747
226	512	1745
227	515	1743
228	517	1741
229	519	1738
230	521	1736
231	523	1733
232	525	1730
233	527	1728
234	530	1726
235	532	1725
236	535	1723
237	537	1721
238	540	1719
239	542	1717
240	544	1715
241	547	1713
242	549	1710
243	551	1707
244	553	1704
245	555	1703
246	557	1700
247	559	1697
248	561	1694
249	564	1692
250	567	1692
251	570	1691
252	572	1690
253	575	1689
254	577	1687
255	579	1685
256	582	1683
257	584	1681
258	587	1680
259	589	1678
260	592	1676
261	594	1673
262	596	1671
263	598	1669
264	601	1667
265	603	1664
266	605	1661
267	607	1659
268	609	1657
269	612	1654
270	614	1653
271	616	1650
272	619	1648
273	621	1647
274	624	1645
275	626	1644
276	629	1642
277	631	1639
278	633	1637
279	635	1635
280	638	1632
281	640	1631
282	643	1630
283	645	1628
284	648	1626
285	650	1624
286	654	1625
287	657	1624
288	659	1622
289	662	1622
290	665	1621
291	669	1624
292	673	1624
293	676	1623
294	678	1621
295	682	1622
296	684	1621
297	687	1619
298	690	1618
299	693	1617
300	695	1615
301	698	1614
302	701	1613
303	704	1612
304	706	1610
305	709	1609
306	713	1609
307	716	1609
308	719	1608
309	721	1606
310	724	1604
311	726	1602
312	729	1600
313	732	1599
314	735	1599
315	737	1596
316	739	1594
317	742	1591
318	744	1588
319	746	1587
320	749	1584
321	751	1582
322	754	1580
323	756	1577
324	758	1575
325	761	1573
326	763	1570
327	765	1567
328	767	1565
329	769	1562
330	771	1560
331	774	1557
332	776	1555
333	779	1553
334	781	1551
335	784	1550
336	787	1550
337	790	1547
338	792	1545
339	795	1543
340	797	1541
341	799	1538
342	802	1536
343	804	1534
344	807	1532
345	809	1529
346	811	1526
347	813	1524
348	815	1522
349	818	1520
350	820	1517
351	823	1515
352	825	1513
353	828	1511
354	830	1508
355	832	1506
356	835	1504
357	838	1502
358	840	1500
359	842	1497
360	844	1495
361	847	1493
362	849	1490
363	851	1488
364	863	1501
365	865	1499
366	868	1497
367	870	1494
368	872	1492
369	875	1490
370	877	1488
371	880	1485
372	882	1483
373	884	1480
374	886	1477
375	888	1475
376	891	1473
377	893	1470
378	895	1468
379	898	1465
380	900	1462
381	902	1460
382	904	1457
383	907	1455
384	909	1452
385	911	1450
386	914	1448
387	916	1446
388	919	1443
389	921	1441
390	923	1438
391	926	1436
392	928	1433
393	930	1431
394	933	1429
395	935	1426
396	937	1424
397	939	1421
398	941	1418
399	944	1416
400	946	1414
401	949	1412
402	952	1410
403	954	1408
404	957	1407
405	960	1405
406	964	1404
407	967	1403
408	969	1401
409	972	1399
410	976	1398
411	978	1396
412	981	1395
413	984	1393
414	986	1390
415	988	1387
416	990	1384
